Player,Team,L10 Hit Rate,Season Hit Rate,Avg vs Handed Pitcher
Dane Myers,Miami Marlins,100.0,100.0,.000
Dane Myers,Miami Marlins,100.0,100.0,.000
Ronald Acuna Jr.,Atlanta Braves,100.0,80.0,.341
Cody Bellinger,Chicago Cubs,100.0,71.69811320754717,.252
Marcell Ozuna,Atlanta Braves,100.0,68.11594202898551,.250
Kyle Tucker,Houston Astros,100.0,67.05882352941175,.268
Luis Arraez,Miami Marlins,90.0,82.71604938271605,.379
Luis Arraez,Miami Marlins,90.0,82.71604938271605,.379
Corey Seager,Texas Rangers,90.0,81.48148148148148,.354
Lane Thomas,Washington Nationals,90.0,80.72289156626506,.263
Ezequiel Tovar,Colorado Rockies,90.0,72.8395061728395,.281
Jose Abreu,Houston Astros,90.0,69.87951807228916,.254
Luis Robert Jr.,Chicago White Sox,90.0,66.66666666666666,.254
Jeremy Pena,Houston Astros,90.0,66.23376623376623,.228
Amed Rosario,Cleveland Guardians,90.0,65.38461538461539,.247
Jeimer Candelario,Washington Nationals,90.0,62.96296296296296,.275
David Peralta,Los Angeles Dodgers,90.0,60.0,.281
Jake McCarthy,Arizona Diamondbacks,90.0,55.35714285714286,.265
Bo Bichette,Toronto Blue Jays,80.0,78.82352941176471,.306
Freddie Freeman,Los Angeles Dodgers,80.0,77.64705882352942,.318
Mauricio Dubon,Houston Astros,80.0,76.47058823529412,.269
Nico Hoerner,Chicago Cubs,80.0,76.31578947368422,.280
Ketel Marte,Arizona Diamondbacks,80.0,74.68354430379746,.277
Josh Jung,Texas Rangers,80.0,73.49397590361446,.253
Henry Davis,Pittsburgh Pirates,80.0,73.33333333333333,.282
Nolan Arenado,St. Louis Cardinals,80.0,70.37037037037037,.280
Spencer Steer,Cincinnati Reds,80.0,67.46987951807229,.284
Christian Yelich,Milwaukee Brewers,80.0,67.07317073170732,.238
Dominic Smith,Washington Nationals,80.0,66.66666666666666,.246
Brandon Nimmo,New York Mets,80.0,66.26506024096386,.314
Garrett Cooper,Miami Marlins,80.0,66.15384615384615,.346
Garrett Cooper,Miami Marlins,80.0,66.15384615384615,.346
Carlos Correa,Minnesota Twins,80.0,65.78947368421053,.223
William Contreras,Milwaukee Brewers,80.0,65.67164179104478,.289
Tyler Stephenson,Cincinnati Reds,80.0,64.19753086419753,.252
Bobby Witt Jr.,Kansas City Royals,80.0,63.52941176470588,.233
Josh Naylor,Cleveland Guardians,80.0,62.66666666666667,.316
Alex Kirilloff,Minnesota Twins,80.0,62.264150943396224,.318
Rafael Devers,Boston Red Sox,80.0,62.19512195121951,.255
Manuel Margot,Tampa Bay Rays,80.0,61.53846153846154,.243
Brendan Donovan,St. Louis Cardinals,80.0,60.526315789473685,.291
Chas McCormick,Houston Astros,80.0,59.57446808510638,.263
Andres Gimenez,Cleveland Guardians,80.0,58.0246913580247,.230
Anthony Volpe,New York Yankees,80.0,54.65116279069767,.220
Tommy Pham,New York Mets,80.0,51.5625,.276
